id,first_name,last_name,email,gender,loyalty_status,education,average_spend_2021,total_spend_2021,most_traveled_city,most_traveled_state
1,Rice,Shinton,Rice.Shinton@datascience.aot.com,Male,None,Master Degree,$174.93,$3867.11,Evansville,IN
2,Anatollo,Dinjes,Anatollo.Dinjes@datascience.aot.com,Male,None,High School Diploma,$277.36,$3258.35,Bakersfield,CA
3,Giuseppe,Woosnam,Giuseppe.Woosnam@datascience.aot.com,Male,Silver,High School Diploma,$266.70,$2608.38,,
4,Beatrice,Delafoy,Beatrice.Delafoy@datascience.aot.com,Female,None,High School Diploma,$374.68,$3227.49,Washington,DC
5,Bethanne,Adamthwaite,Bethanne.Adamthwaite@datascience.aot.com,Bigender,Silver,PhD,$339.74,$2585.42,Saint Petersburg,FL
6,Renie,Garrigan,Renie.Garrigan@datascience.aot.com,Genderqueer,Platnium,High School Diploma,$387.27,$1544.80,Shreveport,LA
7,Riccardo,Farfoot,Riccardo.Farfoot@datascience.aot.com,Male,None,Bachelor Degree,$163.94,$3449.55,El Paso,TX
8,Mackenzie,Pernell,Mackenzie.Pernell@datascience.aot.com,Male,None,Master Degree,$192.64,$479.88,San Antonio,TX
9,Morlee,Weatherdon,Morlee.Weatherdon@datascience.aot.com,Male,Gold,High School Diploma,$359.11,$4561.01,Greensboro,NC
10,Harley,Corteis,Harley.Corteis@datascience.aot.com,Bigender,Silver,Bachelor Degree,$280.43,$4081.65,Sacramento,CA
11,Lodovico,Gwilliams,Lodovico.Gwilliams@datascience.aot.com,Male,None,Master Degree,$278.59,$3521.08,,
12,Giacinta,Pieters,Giacinta.Pieters@datascience.aot.com,Genderfluid,None,Some College,$362.07,$1154.86,Philadelphia,PA
13,Boote,Bareham,Boote.Bareham@datascience.aot.com,Male,Platnium,Some College,$328.49,$2466.01,Fresno,CA
14,Marielle,Acland,Marielle.Acland@datascience.aot.com,Female,Silver,High School Diploma,$263.12,$4275.99,Akron,OH
15,Bruis,Miguet,Bruis.Miguet@datascience.aot.com,Male,None,PhD,$201.81,$3763.47,Providence,RI
16,Brook,Dronsfield,Brook.Dronsfield@datascience.aot.com,Female,Silver,PhD,$282.96,$518.18,Cincinnati,OH
17,Agnesse,Hullett,Agnesse.Hullett@datascience.aot.com,Female,Gold,PhD,$396.02,$738.63,Amarillo,TX
18,Nerty,Haldenby,Nerty.Haldenby@datascience.aot.com,Genderqueer,Gold,Some College,$380.82,$4687.28,,
19,Rosa,Harmond,Rosa.Harmond@datascience.aot.com,Female,None,Master Degree,$301.03,$1393.82,Portsmouth,NH
20,Lorant,Jepson,Lorant.Jepson@datascience.aot.com,Male,Gold,Bachelor Degree,$396.60,$1046.63,Raleigh,NC
21,Ollie,Stathor,Ollie.Stathor@datascience.aot.com,Male,None,High School Diploma,$195.16,$3274.82,Lansing,MI
